At time 2022-05-01T00:00:00, resource=kagra, target=167, exp_time=5
At time 2022-05-01T00:05:00, resource=kagra, target=168, exp_time=5
At time 2022-05-01T00:10:00, resource=kagra, target=169, exp_time=5
At time 2022-05-01T00:15:00, resource=kagra, target=170, exp_time=5
At time 2022-05-01T00:20:00, resource=kagra, target=171, exp_time=5
At time 2022-05-01T00:25:00, resource=kagra, target=172, exp_time=5
At time 2022-05-01T00:30:00, resource=kagra, target=184, exp_time=5
At time 2022-05-01T00:35:00, resource=kagra, target=185, exp_time=5
At time 2022-05-01T00:40:00, resource=kagra, target=186, exp_time=5
At time 2022-05-01T00:45:00, resource=kagra, target=187, exp_time=5
At time 2022-05-01T00:50:00, resource=kagra, target=188, exp_time=5
At time 2022-05-01T00:55:00, resource=kagra, target=173, exp_time=5
At time 2022-05-01T01:00:00, resource=paranal, target=181, exp_time=5
At time 2022-05-01T01:00:00, resource=kagra, target=189, exp_time=5
At time 2022-05-01T01:05:00, resource=paranal, target=182, exp_time=5
At time 2022-05-01T01:05:00, resource=kagra, target=190, exp_time=5
At time 2022-05-01T01:10:00, resource=paranal, target=183, exp_time=5
At time 2022-05-01T01:10:00, resource=kagra, target=191, exp_time=5
At time 2022-05-01T01:15:00, resource=kagra, target=264, exp_time=5
At time 2022-05-01T01:15:00, resource=paranal, target=274, exp_time=5
At time 2022-05-01T01:20:00, resource=kagra, target=265, exp_time=5
At time 2022-05-01T01:20:00, resource=paranal, target=275, exp_time=5
At time 2022-05-01T01:25:00, resource=paranal, target=276, exp_time=5
At time 2022-05-01T01:25:00, resource=kagra, target=278, exp_time=5
At time 2022-05-01T01:30:00, resource=kagra, target=174, exp_time=5
At time 2022-05-01T01:30:00, resource=paranal, target=277, exp_time=5
At time 2022-05-01T01:35:00, resource=kagra, target=266, exp_time=5
At time 2022-05-01T01:35:00, resource=paranal, target=279, exp_time=5
At time 2022-05-01T01:40:00, resource=paranal, target=280, exp_time=5
At time 2022-05-01T01:40:00, resource=kagra, target=281, exp_time=5
At time 2022-05-01T01:45:00, resource=paranal, target=282, exp_time=5
At time 2022-05-01T01:45:00, resource=kagra, target=283, exp_time=5
At time 2022-05-01T01:50:00, resource=paranal, target=284, exp_time=5
At time 2022-05-01T01:50:00, resource=kagra, target=419, exp_time=5
At time 2022-05-01T01:55:00, resource=kagra, target=420, exp_time=5
At time 2022-05-01T01:55:00, resource=paranal, target=426, exp_time=5
At time 2022-05-01T02:00:00, resource=kagra, target=421, exp_time=5
At time 2022-05-01T02:00:00, resource=paranal, target=427, exp_time=5
At time 2022-05-01T02:05:00, resource=kagra, target=175, exp_time=5
At time 2022-05-01T02:05:00, resource=paranal, target=428, exp_time=5
At time 2022-05-01T02:10:00, resource=kagra, target=267, exp_time=5
At time 2022-05-01T02:10:00, resource=paranal, target=429, exp_time=5
At time 2022-05-01T02:15:00, resource=kagra, target=422, exp_time=5
At time 2022-05-01T02:15:00, resource=paranal, target=430, exp_time=5
At time 2022-05-01T02:20:00, resource=paranal, target=431, exp_time=5
At time 2022-05-01T02:20:00, resource=kagra, target=432, exp_time=5
At time 2022-05-01T02:25:00, resource=paranal, target=433, exp_time=5
At time 2022-05-01T02:25:00, resource=kagra, target=434, exp_time=5
At time 2022-05-01T02:30:00, resource=kagra, target=268, exp_time=5
At time 2022-05-01T02:30:00, resource=paranal, target=435, exp_time=5
At time 2022-05-01T02:35:00, resource=kagra, target=423, exp_time=5
At time 2022-05-01T02:35:00, resource=paranal, target=436, exp_time=5
At time 2022-05-01T02:40:00, resource=kagra, target=176, exp_time=5
At time 2022-05-01T02:40:00, resource=paranal, target=437, exp_time=5
At time 2022-05-01T02:45:00, resource=kagra, target=438, exp_time=5
At time 2022-05-01T02:45:00, resource=paranal, target=439, exp_time=5
At time 2022-05-01T02:50:00, resource=kagra, target=440, exp_time=5
At time 2022-05-01T02:50:00, resource=paranal, target=453, exp_time=5
At time 2022-05-01T02:55:00, resource=paranal, target=454, exp_time=5
At time 2022-05-01T02:55:00, resource=kagra, target=456, exp_time=5
At time 2022-05-01T03:00:00, resource=kagra, target=269, exp_time=5
At time 2022-05-01T03:00:00, resource=paranal, target=455, exp_time=5
At time 2022-05-01T03:05:00, resource=kagra, target=424, exp_time=5
At time 2022-05-01T03:05:00, resource=paranal, target=457, exp_time=5
At time 2022-05-01T03:10:00, resource=kagra, target=449, exp_time=5
At time 2022-05-01T03:10:00, resource=paranal, target=458, exp_time=5
At time 2022-05-01T03:15:00, resource=kagra, target=177, exp_time=5
At time 2022-05-01T03:15:00, resource=paranal, target=459, exp_time=5
At time 2022-05-01T03:20:00, resource=paranal, target=460, exp_time=5
At time 2022-05-01T03:20:00, resource=kagra, target=461, exp_time=5
At time 2022-05-01T03:25:00, resource=kagra, target=425, exp_time=5
At time 2022-05-01T03:25:00, resource=paranal, target=462, exp_time=5
At time 2022-05-01T03:30:00, resource=kagra, target=270, exp_time=5
At time 2022-05-01T03:30:00, resource=paranal, target=463, exp_time=5
At time 2022-05-01T03:35:00, resource=paranal, target=464, exp_time=5
At time 2022-05-01T03:35:00, resource=kagra, target=465, exp_time=5
At time 2022-05-01T03:40:00, resource=kagra, target=450, exp_time=5
At time 2022-05-01T03:40:00, resource=paranal, target=466, exp_time=5
At time 2022-05-01T03:45:00, resource=kagra, target=467, exp_time=5
At time 2022-05-01T03:45:00, resource=paranal, target=468, exp_time=5
At time 2022-05-01T03:50:00, resource=kagra, target=178, exp_time=5
At time 2022-05-01T03:50:00, resource=paranal, target=469, exp_time=5
At time 2022-05-01T03:55:00, resource=kagra, target=470, exp_time=5
At time 2022-05-01T03:55:00, resource=paranal, target=471, exp_time=5
At time 2022-05-01T04:00:00, resource=kagra, target=271, exp_time=5
At time 2022-05-01T04:00:00, resource=paranal, target=472, exp_time=5
At time 2022-05-01T04:05:00, resource=kagra, target=451, exp_time=5
At time 2022-05-01T04:05:00, resource=paranal, target=725, exp_time=5
At time 2022-05-01T04:10:00, resource=kagra, target=473, exp_time=5
At time 2022-05-01T04:10:00, resource=paranal, target=726, exp_time=5
At time 2022-05-01T04:15:00, resource=kagra, target=474, exp_time=5
At time 2022-05-01T04:15:00, resource=paranal, target=167, exp_time=5
At time 2022-05-01T04:20:00, resource=kagra, target=475, exp_time=5
At time 2022-05-01T04:20:00, resource=paranal, target=168, exp_time=5
At time 2022-05-01T04:25:00, resource=kagra, target=179, exp_time=5
At time 2022-05-01T04:25:00, resource=paranal, target=169, exp_time=5
At time 2022-05-01T04:30:00, resource=kagra, target=272, exp_time=5
At time 2022-05-01T04:30:00, resource=paranal, target=170, exp_time=5
At time 2022-05-01T04:35:00, resource=kagra, target=452, exp_time=5
At time 2022-05-01T04:35:00, resource=paranal, target=171, exp_time=5
At time 2022-05-01T04:40:00, resource=kagra, target=476, exp_time=5
At time 2022-05-01T04:40:00, resource=paranal, target=172, exp_time=5
At time 2022-05-01T04:45:00, resource=kagra, target=477, exp_time=5
At time 2022-05-01T04:45:00, resource=paranal, target=188, exp_time=5
At time 2022-05-01T04:50:00, resource=kagra, target=478, exp_time=5
At time 2022-05-01T04:50:00, resource=paranal, target=173, exp_time=5
At time 2022-05-01T04:55:00, resource=paranal, target=189, exp_time=5
At time 2022-05-01T04:55:00, resource=kagra, target=264, exp_time=5
At time 2022-05-01T05:00:00, resource=kagra, target=180, exp_time=5
At time 2022-05-01T05:00:00, resource=paranal, target=190, exp_time=5
At time 2022-05-01T05:05:00, resource=kagra, target=273, exp_time=5
At time 2022-05-01T05:05:00, resource=paranal, target=191, exp_time=5
At time 2022-05-01T05:10:00, resource=kagra, target=265, exp_time=5
At time 2022-05-01T05:10:00, resource=paranal, target=174, exp_time=5
At time 2022-05-01T05:15:00, resource=kagra, target=266, exp_time=5
At time 2022-05-01T05:15:00, resource=paranal, target=283, exp_time=5
At time 2022-05-01T05:20:00, resource=paranal, target=282, exp_time=5
At time 2022-05-01T05:20:00, resource=kagra, target=419, exp_time=5
At time 2022-05-01T05:25:00, resource=kagra, target=274, exp_time=5
At time 2022-05-01T05:25:00, resource=paranal, target=284, exp_time=5
At time 2022-05-01T05:30:00, resource=kagra, target=426, exp_time=5
At time 2022-05-01T05:30:00, resource=paranal, target=420, exp_time=5
At time 2022-05-01T05:35:00, resource=kagra, target=181, exp_time=5
At time 2022-05-01T05:35:00, resource=paranal, target=421, exp_time=5
At time 2022-05-01T05:40:00, resource=kagra, target=427, exp_time=5
At time 2022-05-01T05:40:00, resource=paranal, target=175, exp_time=5
At time 2022-05-01T05:45:00, resource=kagra, target=428, exp_time=5
At time 2022-05-01T05:45:00, resource=paranal, target=267, exp_time=5
At time 2022-05-01T05:50:00, resource=kagra, target=429, exp_time=5
At time 2022-05-01T05:50:00, resource=paranal, target=422, exp_time=5
At time 2022-05-01T05:55:00, resource=kagra, target=275, exp_time=5
At time 2022-05-01T05:55:00, resource=paranal, target=434, exp_time=5
At time 2022-05-01T06:00:00, resource=kagra, target=430, exp_time=5
At time 2022-05-01T06:00:00, resource=paranal, target=435, exp_time=5
At time 2022-05-01T06:05:00, resource=kagra, target=268, exp_time=5
At time 2022-05-01T06:05:00, resource=paranal, target=436, exp_time=5
At time 2022-05-01T06:10:00, resource=kagra, target=182, exp_time=5
At time 2022-05-01T06:10:00, resource=paranal, target=423, exp_time=5
At time 2022-05-01T06:15:00, resource=kagra, target=431, exp_time=5
At time 2022-05-01T06:15:00, resource=paranal, target=437, exp_time=5
At time 2022-05-01T06:20:00, resource=kagra, target=176, exp_time=5
At time 2022-05-01T06:20:00, resource=paranal, target=439, exp_time=5
At time 2022-05-01T06:25:00, resource=kagra, target=276, exp_time=5
At time 2022-05-01T06:25:00, resource=paranal, target=438, exp_time=5
At time 2022-05-01T06:30:00, resource=kagra, target=453, exp_time=5
At time 2022-05-01T06:30:00, resource=paranal, target=440, exp_time=5
At time 2022-05-01T06:35:00, resource=kagra, target=456, exp_time=5
At time 2022-05-01T06:35:00, resource=paranal, target=269, exp_time=5
At time 2022-05-01T06:40:00, resource=kagra, target=454, exp_time=5
At time 2022-05-01T06:40:00, resource=paranal, target=424, exp_time=5
At time 2022-05-01T06:45:00, resource=kagra, target=183, exp_time=5
At time 2022-05-01T06:45:00, resource=paranal, target=449, exp_time=5
At time 2022-05-01T06:50:00, resource=kagra, target=432, exp_time=5
At time 2022-05-01T06:50:00, resource=paranal, target=177, exp_time=5
At time 2022-05-01T06:55:00, resource=kagra, target=277, exp_time=5
At time 2022-05-01T06:55:00, resource=paranal, target=462, exp_time=5
At time 2022-05-01T07:00:00, resource=kagra, target=455, exp_time=5
At time 2022-05-01T07:00:00, resource=paranal, target=425, exp_time=5
At time 2022-05-01T07:05:00, resource=kagra, target=457, exp_time=5
At time 2022-05-01T07:05:00, resource=paranal, target=463, exp_time=5
At time 2022-05-01T07:10:00, resource=kagra, target=433, exp_time=5
At time 2022-05-01T07:10:00, resource=paranal, target=270, exp_time=5
At time 2022-05-01T07:15:00, resource=paranal, target=465, exp_time=5
At time 2022-05-01T07:15:00, resource=kagra, target=466, exp_time=5
At time 2022-05-01T07:20:00, resource=kagra, target=184, exp_time=5
At time 2022-05-01T07:20:00, resource=paranal, target=464, exp_time=5
At time 2022-05-01T07:25:00, resource=kagra, target=278, exp_time=5
At time 2022-05-01T07:25:00, resource=paranal, target=450, exp_time=5
At time 2022-05-01T07:30:00, resource=kagra, target=458, exp_time=5
At time 2022-05-01T07:30:00, resource=paranal, target=468, exp_time=5
At time 2022-05-01T07:35:00, resource=paranal, target=467, exp_time=5
At time 2022-05-01T07:35:00, resource=kagra, target=469, exp_time=5
At time 2022-05-01T07:40:00, resource=kagra, target=178, exp_time=5
At time 2022-05-01T07:40:00, resource=paranal, target=471, exp_time=5
At time 2022-05-01T07:45:00, resource=paranal, target=470, exp_time=5
At time 2022-05-01T07:45:00, resource=kagra, target=472, exp_time=5
At time 2022-05-01T07:50:00, resource=kagra, target=279, exp_time=5
At time 2022-05-01T07:50:00, resource=paranal, target=271, exp_time=5
At time 2022-05-01T07:55:00, resource=kagra, target=185, exp_time=5
At time 2022-05-01T07:55:00, resource=paranal, target=725, exp_time=5
At time 2022-05-01T08:00:00, resource=kagra, target=459, exp_time=5
At time 2022-05-01T08:00:00, resource=paranal, target=451, exp_time=5
At time 2022-05-01T08:05:00, resource=mcdonald, target=186, exp_time=5
At time 2022-05-01T08:05:00, resource=kagra, target=726, exp_time=5
At time 2022-05-01T08:05:00, resource=paranal, target=473, exp_time=5
At time 2022-05-01T08:10:00, resource=mcdonald, target=187, exp_time=5
At time 2022-05-01T08:10:00, resource=kagra, target=167, exp_time=5
At time 2022-05-01T08:10:00, resource=paranal, target=474, exp_time=5
At time 2022-05-01T08:15:00, resource=mcdonald, target=281, exp_time=5
At time 2022-05-01T08:15:00, resource=kagra, target=168, exp_time=5
At time 2022-05-01T08:15:00, resource=paranal, target=475, exp_time=5
At time 2022-05-01T08:20:00, resource=mcdonald, target=280, exp_time=5
At time 2022-05-01T08:20:00, resource=kagra, target=460, exp_time=5
At time 2022-05-01T08:20:00, resource=paranal, target=169, exp_time=5
At time 2022-05-01T08:25:00, resource=mcdonald, target=461, exp_time=5
At time 2022-05-01T08:25:00, resource=kagra, target=179, exp_time=5
At time 2022-05-01T08:25:00, resource=paranal, target=170, exp_time=5
At time 2022-05-01T08:30:00, resource=kagra, target=272, exp_time=5
At time 2022-05-01T08:30:00, resource=paranal, target=171, exp_time=5
